"","ID","CHR","MAPINFO","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Relation_to_UCSC_CpG_Island"
"cg16730559","cg16730559","16",157371,"C16orf35;C16orf35","NM_001039476;NM_001077350","Body;Body",""
"cg02353723","cg02353723","16",163133,"C16orf35;C16orf35","NM_001039476;NM_001077350","5'UTR;Body",""
"cg09430181","cg09430181","16",175663,"C16orf35;C16orf35","NM_001039476;NM_001077350","5'UTR;Body",""
"cg02028423","cg02028423","16",185078,"C16orf35;C16orf35","NM_001039476;NM_001077350","5'UTR;Body","N_Shelf"
"cg00928894","cg00928894","16",188269,"C16orf35;C16orf35;C16orf35","NM_001039476;NM_001039476;NM_001077350","5'UTR;1stExon;5'UTR","N_Shore"
"cg09580244","cg09580244","16",188732,"C16orf35;C16orf35","NM_001039476;NM_001077350","TSS200;TSS200","Island"
"cg02855078","cg02855078","16",188863,"C16orf35;C16orf35","NM_001077350;NM_001039476","TSS200;TSS1500","Island"
"cg24399405","cg24399405","16",189577,"C16orf35;C16orf35","NM_001039476;NM_001077350","TSS1500;TSS1500","S_Shore"
"cg27009501","cg27009501","16",192839,"","","","S_Shelf"
"cg06929449","cg06929449","16",199414,"","","",""
"cg10317591","cg10317591","16",199821,"","","","N_Shelf"
"cg08957279","cg08957279","16",202311,"HBZ","NM_005332","TSS1500","N_Shore"
"cg10164238","cg10164238","16",202368,"HBZ","NM_005332","TSS1500","N_Shore"
"cg21960110","cg21960110","16",202482,"HBZ","NM_005332","TSS1500","N_Shore"
"cg01839639","cg01839639","16",202542,"HBZ","NM_005332","TSS1500","N_Shore"
"cg25425005","cg25425005","16",202905,"HBZ;HBZ","NM_005332;NM_005332","5'UTR;1stExon","N_Shore"
"cg07263153","cg07263153","16",202974,"HBZ","NM_005332","1stExon","N_Shore"
"cg02279719","cg02279719","16",204474,"HBZ","NM_005332","3'UTR","Island"
"cg06459847","cg06459847","16",204601,"","","","Island"
"cg07498624","cg07498624","16",204831,"","","","Island"
"cg01923692","cg01923692","16",204949,"","","","S_Shore"
"cg05390075","cg05390075","16",210576,"","","","N_Shelf"
"cg07067950","cg07067950","16",212464,"","","","N_Shore"
"cg25322095","cg25322095","16",215002,"HBM","NM_001003938","TSS1500","Island"
"cg07466193","cg07466193","16",215410,"HBM","NM_001003938","TSS1500","Island"
"cg01744019","cg01744019","16",215593,"HBM","NM_001003938","TSS1500","Island"
"cg09812623","cg09812623","16",215781,"HBM","NM_001003938","TSS200","Island"
"cg08393070","cg08393070","16",215791,"HBM","NM_001003938","TSS200","Island"
"cg01558909","cg01558909","16",215845,"HBM","NM_001003938","TSS200","Island"
"cg06319822","cg06319822","16",215960,"HBM","NM_001003938","TSS200","Island"
"cg26976732","cg26976732","16",216100,"HBM","NM_001003938","Body","Island"
"cg21664030","cg21664030","16",216244,"HBM","NM_001003938","Body","Island"
"cg04141813","cg04141813","16",216450,"HBM","NM_001003938","Body","Island"
"cg03309232","cg03309232","16",216626,"HBM","NM_001003938","Body","Island"
"cg09523819","cg09523819","16",216757,"HBM","NM_001003938","3'UTR","S_Shore"
"cg04321267","cg04321267","16",219155,"","","","N_Shelf"
"cg04377849","cg04377849","16",221584,"HBA2","NM_000517","TSS1500","N_Shore"
"cg26637826","cg26637826","16",221590,"HBA2","NM_000517","TSS1500","N_Shore"
"cg04938149","cg04938149","16",221811,"HBA2","NM_000517","TSS1500","N_Shore"
"cg16263182","cg16263182","16",223399,"HBA2","NM_000517","Body","Island"
"cg05956679","cg05956679","16",223408,"HBA2","NM_000517","Body","Island"
"cg01319583","cg01319583","16",224928,"","","","N_Shore"
"cg01704105","cg01704105","16",225666,"HBA1","NM_000558","TSS1500","N_Shore"
"cg08923033","cg08923033","16",226002,"HBA1","NM_000558","TSS1500","N_Shore"
"cg27452732","cg27452732","16",226670,"HBA1","NM_000558","TSS200","Island"
"cg09434193","cg09434193","16",227233,"HBA1","NM_000558","Body","Island"
"cg05933901","cg05933901","16",229407,"HBQ1","NM_005331","TSS1500","N_Shore"
"cg26729101","cg26729101","16",229500,"HBQ1","NM_005331","TSS1500","N_Shore"
"cg05274179","cg05274179","16",229528,"HBQ1","NM_005331","TSS1500","N_Shore"
"cg17714030","cg17714030","16",229983,"HBQ1","NM_005331","TSS1500","N_Shore"
"cg07703401","cg07703401","16",230341,"HBQ1;HBQ1","NM_005331;NM_005331","1stExon;5'UTR","Island"
"cg02401454","cg02401454","16",230343,"HBQ1;HBQ1","NM_005331;NM_005331","1stExon;5'UTR","Island"
"cg06861209","cg06861209","16",231149,"HBQ1","NM_005331","3'UTR","Island"
"cg12617928","cg12617928","16",231742,"","","","Island"
"cg16367168","cg16367168","16",231905,"","","","S_Shore"
"cg03788090","cg03788090","16",233062,"","","","S_Shore"
"cg02573966","cg02573966","16",235555,"","","","N_Shore"
"cg17291625","cg17291625","16",236080,"","","","Island"
"cg02385593","cg02385593","16",237231,"","","","Island"
"cg00126636","cg00126636","16",237282,"","","","Island"
"cg08685832","cg08685832","16",238982,"LUC7L;LUC7L","NM_201412;NM_018032","3'UTR;3'UTR","S_Shore"
"cg04958271","cg04958271","16",239231,"LUC7L;LUC7L","NM_018032;NM_201412","3'UTR;Body","S_Shore"
"cg06348427","cg06348427","16",239291,"LUC7L;LUC7L","NM_018032;NM_201412","3'UTR;Body","S_Shelf"
"cg06950479","cg06950479","16",240114,"LUC7L;LUC7L","NM_018032;NM_201412","Body;Body","S_Shelf"
"cg02933542","cg02933542","16",275920,"LUC7L;LUC7L","NM_018032;NM_201412","Body;Body","N_Shelf"
"cg06819375","cg06819375","16",278788,"LUC7L;LUC7L","NM_018032;NM_201412","Body;Body","N_Shore"
"cg01687051","cg01687051","16",278852,"LUC7L;LUC7L","NM_018032;NM_201412","Body;Body","Island"
"cg22470426","cg22470426","16",279634,"LUC7L;LUC7L","NM_018032;NM_201412","TSS200;TSS200","N_Shore"
"cg27362010","cg27362010","16",279746,"LUC7L;LUC7L","NM_018032;NM_201412","TSS1500;TSS1500","N_Shore"
"cg26697334","cg26697334","16",279990,"LUC7L;LUC7L","NM_018032;NM_201412","TSS1500;TSS1500","N_Shore"
"cg07080946","cg07080946","16",280046,"LUC7L;LUC7L","NM_018032;NM_201412","TSS1500;TSS1500","N_Shore"
"cg05465347","cg05465347","16",281115,"","","","Island"
"cg07992604","cg07992604","16",281164,"","","","Island"
"cg22621780","cg22621780","16",281201,"","","","Island"
"cg02877856","cg02877856","16",281284,"","","","Island"
"cg05657096","cg05657096","16",281424,"","","","S_Shore"
"cg02655906","cg02655906","16",283463,"ITFG3","NM_032039","TSS1500","N_Shore"
"cg08899291","cg08899291","16",284932,"ITFG3","NM_032039","5'UTR","Island"
"cg12197254","cg12197254","16",285158,"ITFG3","NM_032039","5'UTR","Island"
"cg01532600","cg01532600","16",285188,"ITFG3","NM_032039","5'UTR","Island"
"cg27069188","cg27069188","16",285785,"ITFG3","NM_032039","5'UTR","S_Shore"
"cg26951000","cg26951000","16",288323,"ITFG3","NM_032039","5'UTR","S_Shelf"
"cg16658177","cg16658177","16",299501,"ITFG3","NM_032039","5'UTR",""
"cg27316939","cg27316939","16",302852,"ITFG3","NM_032039","5'UTR",""
"cg02895698","cg02895698","16",303165,"ITFG3","NM_032039","5'UTR",""
"cg05849772","cg05849772","16",303182,"ITFG3","NM_032039","5'UTR",""
"cg03991592","cg03991592","16",303192,"ITFG3","NM_032039","5'UTR",""
"cg10293297","cg10293297","16",304604,"ITFG3","NM_032039","Body",""
"cg01560407","cg01560407","16",310537,"ITFG3","NM_032039","Body",""
"cg01103443","cg01103443","16",310591,"ITFG3","NM_032039","Body",""
"cg06507072","cg06507072","16",310683,"ITFG3","NM_032039","Body",""
"cg08694735","cg08694735","16",311131,"ITFG3","NM_032039","Body",""
"cg09614814","cg09614814","16",311149,"ITFG3","NM_032039","Body",""
"cg27277974","cg27277974","16",312436,"ITFG3","NM_032039","Body",""
"cg07628300","cg07628300","16",312565,"ITFG3","NM_032039","Body",""
"cg26484247","cg26484247","16",313425,"ITFG3","NM_032039","Body",""
"cg09275921","cg09275921","16",313711,"ITFG3","NM_032039","Body",""
"cg16382722","cg16382722","16",314174,"ITFG3","NM_032039","Body",""
"cg08713437","cg08713437","16",314666,"ITFG3","NM_032039","Body","N_Shelf"
"cg01854389","cg01854389","16",314779,"ITFG3","NM_032039","Body","N_Shelf"
"cg00418913","cg00418913","16",314811,"ITFG3","NM_032039","Body","N_Shelf"
"cg01474600","cg01474600","16",315564,"ITFG3","NM_032039","3'UTR","N_Shelf"
"cg05045498","cg05045498","16",318213,"","","","N_Shore"
"cg09192940","cg09192940","16",318694,"RGS11;RGS11","NM_183337;NM_003834","3'UTR;3'UTR","Island"
"cg09937849","cg09937849","16",318717,"RGS11;RGS11","NM_183337;NM_003834","3'UTR;3'UTR","Island"
"cg08735550","cg08735550","16",318900,"RGS11;RGS11","NM_183337;NM_003834","3'UTR;3'UTR","Island"
"cg02892402","cg02892402","16",320613,"RGS11;RGS11","NM_183337;NM_003834","Body;Body","S_Shore"
"cg01127994","cg01127994","16",322773,"RGS11;RGS11","NM_183337;NM_003834","Body;Body","N_Shelf"
"cg05772319","cg05772319","16",323063,"RGS11;RGS11","NM_183337;NM_003834","Body;Body","N_Shore"
"cg27040030","cg27040030","16",325184,"RGS11;RGS11","NM_183337;NM_003834","Body;Body","Island"
"cg03390211","cg03390211","16",325826,"RGS11;RGS11","NM_003834;NM_183337","5'UTR;Body","Island"
"cg01155930","cg01155930","16",326064,"RGS11;RGS11","NM_183337;NM_003834","TSS200;TSS200","Island"
"cg07430849","cg07430849","16",326397,"RGS11;RGS11","NM_003834;NM_183337","TSS1500;TSS1500","S_Shore"
"cg21946698","cg21946698","16",326615,"RGS11;RGS11","NM_003834;NM_183337","TSS1500;TSS1500","S_Shore"
"cg02921617","cg02921617","16",326673,"RGS11;RGS11","NM_003834;NM_183337","TSS1500;TSS1500","S_Shore"
"cg01344518","cg01344518","16",326728,"RGS11;RGS11","NM_003834;NM_183337","TSS1500;TSS1500","S_Shore"
"cg26876334","cg26876334","16",329682,"ARHGDIG","NM_001176","TSS1500","N_Shore"
"cg08199013","cg08199013","16",330010,"ARHGDIG","NM_001176","TSS1500","N_Shore"
"cg27560922","cg27560922","16",330267,"ARHGDIG","NM_001176","TSS1500","Island"
"cg15755548","cg15755548","16",331050,"ARHGDIG","NM_001176","Body","N_Shore"
"cg08496521","cg08496521","16",331354,"ARHGDIG","NM_001176","Body","N_Shore"
"cg08853359","cg08853359","16",331454,"ARHGDIG","NM_001176","Body","N_Shore"
"cg08203127","cg08203127","16",331727,"ARHGDIG;PDIA2","NM_001176;NM_006849","Body;TSS1500","N_Shore"
"cg01309213","cg01309213","16",331821,"ARHGDIG;PDIA2","NM_001176;NM_006849","Body;TSS1500","N_Shore"
"cg09417849","cg09417849","16",331892,"ARHGDIG;PDIA2","NM_001176;NM_006849","Body;TSS1500","N_Shore"
"cg03663874","cg03663874","16",332515,"ARHGDIG;PDIA2","NM_001176;NM_006849","Body;TSS1500","Island"
"cg01979489","cg01979489","16",332603,"ARHGDIG;PDIA2","NM_001176;NM_006849","Body;TSS1500","Island"
"cg27392802","cg27392802","16",332705,"ARHGDIG;PDIA2","NM_001176;NM_006849","Body;TSS1500","Island"
"cg09357140","cg09357140","16",332745,"ARHGDIG;PDIA2","NM_001176;NM_006849","Body;TSS1500","Island"
"cg02428506","cg02428506","16",332825,"ARHGDIG;PDIA2","NM_001176;NM_006849","3'UTR;TSS1500","N_Shore"
"cg10826763","cg10826763","16",332963,"ARHGDIG;PDIA2","NM_001176;NM_006849","3'UTR;TSS200","N_Shore"
"cg10151162","cg10151162","16",333104,"PDIA2","NM_006849","TSS200","N_Shore"
"cg00508131","cg00508131","16",333153,"PDIA2;PDIA2","NM_006849;NM_006849","5'UTR;1stExon","N_Shore"
"cg01761710","cg01761710","16",333155,"PDIA2;PDIA2","NM_006849;NM_006849","5'UTR;1stExon","N_Shore"
"cg07326665","cg07326665","16",334445,"PDIA2","NM_006849","Body","Island"
"cg00382227","cg00382227","16",334557,"PDIA2","NM_006849","Body","Island"
"cg08498179","cg08498179","16",334749,"PDIA2","NM_006849","Body","Island"
"cg08914678","cg08914678","16",334889,"PDIA2","NM_006849","Body","N_Shore"
"cg05703996","cg05703996","16",335830,"PDIA2","NM_006849","Body","Island"
"cg08140236","cg08140236","16",337132,"PDIA2","NM_006849","3'UTR","S_Shore"
"cg06233593","cg06233593","16",337645,"AXIN1;AXIN1","NM_003502;NM_181050","3'UTR;3'UTR","S_Shore"
"cg04928096","cg04928096","16",338079,"AXIN1;AXIN1","NM_003502;NM_181050","3'UTR;3'UTR","N_Shelf"
"cg02145319","cg02145319","16",339492,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg26462212","cg26462212","16",339544,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg10010898","cg10010898","16",339598,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg16474948","cg16474948","16",339746,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg05523267","cg05523267","16",341185,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg09548897","cg09548897","16",341277,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg01677987","cg01677987","16",341404,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg08134324","cg08134324","16",342012,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shore"
"cg26912541","cg26912541","16",343263,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shore"
"cg04808813","cg04808813","16",343299,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shore"
"cg01444501","cg01444501","16",343706,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shelf"
"cg27480957","cg27480957","16",345454,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg10500953","cg10500953","16",346518,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg08823186","cg08823186","16",347294,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg19149941","cg19149941","16",347839,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg27331759","cg27331759","16",347891,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg06387245","cg06387245","16",348076,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg00432872","cg00432872","16",349062,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shore"
"cg05988219","cg05988219","16",350720,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shelf"
"cg10184845","cg10184845","16",351867,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shelf"
"cg09987150","cg09987150","16",351967,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shelf"
"cg07809981","cg07809981","16",352159,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shelf"
"cg08372680","cg08372680","16",352504,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg00301018","cg00301018","16",352599,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg09319227","cg09319227","16",352684,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg07405255","cg07405255","16",354052,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg11090131","cg11090131","16",354263,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg08493338","cg08493338","16",354269,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg01623343","cg01623343","16",354374,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg07558833","cg07558833","16",354911,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shore"
"cg10354730","cg10354730","16",357249,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shelf"
"cg16412914","cg16412914","16",358248,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shelf"
"cg01517185","cg01517185","16",358490,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg26616258","cg26616258","16",358591,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg03431067","cg03431067","16",367990,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg03660377","cg03660377","16",368048,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg03316628","cg03316628","16",368066,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg26525629","cg26525629","16",368524,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg00602726","cg00602726","16",368727,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg01929285","cg01929285","16",368761,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg02710530","cg02710530","16",372097,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shelf"
"cg00973118","cg00973118","16",374570,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","N_Shore"
"cg27549619","cg27549619","16",374924,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg01045337","cg01045337","16",374988,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg02086790","cg02086790","16",375327,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","Island"
"cg03397724","cg03397724","16",375541,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shore"
"cg07915516","cg07915516","16",377344,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body","S_Shelf"
"cg16778107","cg16778107","16",381873,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg16760168","cg16760168","16",391057,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg08755601","cg08755601","16",391476,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg04322644","cg04322644","16",392392,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg03000848","cg03000848","16",396164,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg27308245","cg27308245","16",396393,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg07115761","cg07115761","16",396494,"AXIN1;AXIN1","NM_003502;NM_181050","Body;Body",""
"cg09121920","cg09121920","16",397672,"AXIN1;AXIN1","NM_181050;NM_003502","5'UTR;5'UTR",""
"cg25023245","cg25023245","16",401986,"AXIN1;AXIN1","NM_181050;NM_003502","5'UTR;5'UTR",""
"cg15001381","cg15001381","16",403314,"AXIN1;AXIN1","NM_181050;NM_003502","TSS1500;TSS1500",""
"cg08577231","cg08577231","16",403800,"AXIN1;AXIN1","NM_181050;NM_003502","TSS1500;TSS1500",""
"cg09593385","cg09593385","16",407217,"","","","N_Shelf"
"cg08757730","cg08757730","16",409254,"","","","N_Shore"
"cg07631681","cg07631681","16",410001,"","","","Island"
"cg20297053","cg20297053","16",410274,"","","","Island"
"cg06113801","cg06113801","16",410333,"","","","Island"
"cg06038470","cg06038470","16",410721,"","","","Island"
"cg06219586","cg06219586","16",410931,"","","","Island"
"cg00012960","cg00012960","16",411011,"","","","Island"
"cg09813301","cg09813301","16",411182,"","","","Island"
"cg10295858","cg10295858","16",411352,"","","","Island"
"cg03923285","cg03923285","16",412168,"","","","S_Shore"
"cg09135239","cg09135239","16",412393,"","","","S_Shore"
"cg01388847","cg01388847","16",412428,"","","","S_Shore"
"cg02870744","cg02870744","16",412727,"","","","S_Shore"
"cg09955084","cg09955084","16",413813,"","","","S_Shelf"
"cg10192872","cg10192872","16",417842,"MRPL28","NM_006428","Body","N_Shelf"
"cg00928191","cg00928191","16",419800,"MRPL28","NM_006428","Body","N_Shore"
"cg26913058","cg26913058","16",419975,"MRPL28","NM_006428","Body","Island"
"cg00101154","cg00101154","16",420108,"MRPL28","NM_006428","Body","Island"
"cg08923669","cg08923669","16",420230,"MRPL28","NM_006428","5'UTR","Island"
"cg06105288","cg06105288","16",420669,"MRPL28","NM_006428","TSS200","Island"
"cg10349874","cg10349874","16",420996,"TMEM8A;MRPL28","NM_021259;NM_006428","3'UTR;TSS1500","S_Shore"
"cg26944245","cg26944245","16",421049,"TMEM8A;MRPL28","NM_021259;NM_006428","3'UTR;TSS1500","S_Shore"
"cg10805676","cg10805676","16",421990,"TMEM8A;MRPL28","NM_021259;NM_006428","Body;TSS1500","N_Shore"
"cg04004607","cg04004607","16",422053,"TMEM8A","NM_021259","Body","N_Shore"
"cg04507446","cg04507446","16",422157,"TMEM8A","NM_021259","Body","N_Shore"
"cg04481126","cg04481126","16",423872,"TMEM8A","NM_021259","Body","Island"
"cg06910049","cg06910049","16",424320,"TMEM8A","NM_021259","Body","Island"
"cg03842433","cg03842433","16",425329,"TMEM8A","NM_021259","Body","N_Shore"
"cg08962167","cg08962167","16",425385,"TMEM8A","NM_021259","Body","N_Shore"
"cg05505758","cg05505758","16",425399,"TMEM8A","NM_021259","Body","N_Shore"
"cg01185755","cg01185755","16",426086,"TMEM8A","NM_021259","Body","Island"
"cg16347023","cg16347023","16",426171,"TMEM8A","NM_021259","Body","Island"
